# timestamp, linear_acceleration.x, linear_acceleration.y, linear_acceleration.z, angular_velocity.x, angular_velocity.y, angular_velocity.z
3.154016386999999977e+00,2.329999953508377075e-01,2.179999947547912598e-01,-1.049699974060058594e+01,4.000000189989805222e-03,2.400000020861625671e-02,-1.120000034570693970e-01
3.163865147000000100e+00,2.899999916553497314e-01,3.420000076293945312e-01,-1.231700038909912109e+01,1.300000026822090149e-02,-1.799999922513961792e-02,-2.400000020861625671e-02
3.174729239000000369e+00,2.899999916553497314e-01,3.420000076293945312e-01,-1.231700038909912109e+01,1.300000026822090149e-02,-1.799999922513961792e-02,-2.400000020861625671e-02
3.185092443000000273e+00,-9.689999818801879883e-01,-9.399999678134918213e-02,-6.868000030517578125e+00,-9.999999776482582092e-03,-9.499999880790710449e-02,-1.070000007748603821e-01
3.193928221000000178e+00,-9.689999818801879883e-01,-9.399999678134918213e-02,-6.868000030517578125e+00,-9.999999776482582092e-03,-9.499999880790710449e-02,-1.070000007748603821e-01
3.204436776000000098e+00,1.521000027656555176e+00,-1.080000028014183044e-01,-8.807000160217285156e+00,-5.000000074505805969e-02,5.299999937415122986e-02,5.600000172853469849e-02
3.214056776000000060e+00,1.521000027656555176e+00,-1.080000028014183044e-01,-8.807000160217285156e+00,-5.000000074505805969e-02,5.299999937415122986e-02,5.600000172853469849e-02
3.223999406000000345e+00,5.099999904632568359e-01,5.149999856948852539e-01,-7.327000141143798828e+00,-3.799999877810478210e-02,3.200000151991844177e-02,8.900000154972076416e-02
3.233701165000000266e+00,5.099999904632568359e-01,5.149999856948852539e-01,-7.327000141143798828e+00,-3.799999877810478210e-02,3.200000151991844177e-02,8.900000154972076416e-02
3.243581480000000017e+00,3.910000026226043701e-01,-2.899999916553497314e-01,-1.002799987792968750e+01,-8.000000379979610443e-03,0.000000000000000000e+00,5.700000002980232239e-02
3.255148369000000041e+00,3.910000026226043701e-01,-2.899999916553497314e-01,-1.002799987792968750e+01,-8.000000379979610443e-03,0.000000000000000000e+00,5.700000002980232239e-02
3.266484443000000404e+00,1.180999994277954102e+00,-2.129999995231628418e-01,-1.077000045776367188e+01,3.000000026077032089e-03,2.199999988079071045e-02,8.900000154972076416e-02
3.273801258000000214e+00,1.180999994277954102e+00,-2.129999995231628418e-01,-1.077000045776367188e+01,3.000000026077032089e-03,2.199999988079071045e-02,8.900000154972076416e-02
3.283504758000000301e+00,1.180999994277954102e+00,-2.129999995231628418e-01,-1.077000045776367188e+01,3.000000026077032089e-03,2.199999988079071045e-02,8.900000154972076416e-02
3.294809998000000295e+00,1.180999994277954102e+00,-2.129999995231628418e-01,-1.077000045776367188e+01,3.000000026077032089e-03,2.199999988079071045e-02,8.900000154972076416e-02
3.304926610000000320e+00,5.009999871253967285e-01,-3.190000057220458984e-01,-1.037300014495849609e+01,1.099999994039535522e-02,-3.999999910593032837e-02,-1.600000075995922089e-02
3.315448869000000354e+00,5.009999871253967285e-01,-3.190000057220458984e-01,-1.037300014495849609e+01,1.099999994039535522e-02,-3.999999910593032837e-02,-1.600000075995922089e-02
3.323495628000000313e+00,5.009999871253967285e-01,-3.190000057220458984e-01,-1.037300014495849609e+01,1.099999994039535522e-02,-3.999999910593032837e-02,-1.600000075995922089e-02
3.334359665000000028e+00,5.009999871253967285e-01,-3.190000057220458984e-01,-1.037300014495849609e+01,1.099999994039535522e-02,-3.999999910593032837e-02,-1.600000075995922089e-02
3.344740332000000205e+00,6.010000109672546387e-01,-1.749999970197677612e-01,-7.926000118255615234e+00,1.899999938905239105e-02,-3.400000184774398804e-02,2.600000053644180298e-02
3.353403869000000093e+00,6.010000109672546387e-01,-1.749999970197677612e-01,-7.926000118255615234e+00,1.899999938905239105e-02,-3.400000184774398804e-02,2.600000053644180298e-02
3.365399980000000291e+00,6.489999890327453613e-01,1.889999955892562866e-01,-1.092800045013427734e+01,8.000000379979610443e-03,-1.200000010430812836e-02,1.799999922513961792e-02
3.374390924000000069e+00,6.489999890327453613e-01,1.889999955892562866e-01,-1.092800045013427734e+01,8.000000379979610443e-03,-1.200000010430812836e-02,1.799999922513961792e-02
3.387398813000000342e+00,1.018000006675720215e+00,1.360000073909759521e-01,-9.673999786376953125e+00,-2.000000094994902611e-03,2.700000070035457611e-02,2.800000086426734924e-02
3.396853147000000295e+00,1.018000006675720215e+00,1.360000073909759521e-01,-9.673999786376953125e+00,-2.000000094994902611e-03,2.700000070035457611e-02,2.800000086426734924e-02
3.405999498000000347e+00,1.018000006675720215e+00,1.360000073909759521e-01,-9.673999786376953125e+00,-2.000000094994902611e-03,2.700000070035457611e-02,2.800000086426734924e-02
3.415793739000000162e+00,1.018000006675720215e+00,1.360000073909759521e-01,-9.673999786376953125e+00,-2.000000094994902611e-03,2.700000070035457611e-02,2.800000086426734924e-02
3.425856776000000270e+00,8.019999861717224121e-01,-9.799999743700027466e-02,-9.682999610900878906e+00,-4.999999888241291046e-03,1.700000092387199402e-02,4.600000008940696716e-02
3.433815091000000042e+00,8.019999861717224121e-01,-9.799999743700027466e-02,-9.682999610900878906e+00,-4.999999888241291046e-03,1.700000092387199402e-02,4.600000008940696716e-02
3.443483480000000263e+00,5.680000185966491699e-01,1.410000026226043701e-01,-8.802000045776367188e+00,1.499999966472387314e-02,-2.400000020861625671e-02,5.700000002980232239e-02
3.453416684000000014e+00,5.680000185966491699e-01,1.410000026226043701e-01,-8.802000045776367188e+00,1.499999966472387314e-02,-2.400000020861625671e-02,5.700000002980232239e-02
3.463455869000000131e+00,1.018000006675720215e+00,-7.689999938011169434e-01,-1.020100021362304688e+01,4.000000189989805222e-03,1.099999994039535522e-02,3.999999910593032837e-02
