#timestamp, acel_linear, vel_angular
4.49349,9.64709,0.00868164
4.50348,9.65365,0.00869088
4.51354,9.64738,0.00828861
4.52369,9.64638,0.00787473
4.53368,9.64538,0.00746085
4.54372,9.6688,0.00754254
4.5535,9.69221,0.00762424
4.56348,9.68524,0.00761993
4.57366,9.67827,0.00761563
4.58362,9.67539,0.00760299
4.59371,9.67251,0.00759035
4.6035,9.67008,0.00767024
4.61374,9.66766,0.00775013
4.6237,9.66747,0.00766574
4.63344,9.66729,0.00758134
4.64345,9.66314,0.00752078
4.65381,9.65899,0.00746023
4.6637,9.65784,0.0074155
4.67371,9.65669,0.00737078
4.68353,9.65714,0.00734852
4.69366,9.6576,0.00732625
4.70347,9.65805,0.00730399
4.71358,9.6585,0.00728172
4.72363,9.65626,0.00722506
4.73345,9.65403,0.00716841
4.74346,9.65019,0.00723404
4.75359,9.64635,0.00729968
4.76356,9.64475,0.00729393
4.77395,9.64315,0.00728817
4.7835,9.64505,0.00727256
4.7935,9.64695,0.00725695
4.80349,9.64742,0.00726804
4.8135,9.64788,0.00727913
4.8235,9.64308,0.00732268
4.8337,9.63828,0.00736624
4.84346,9.63668,0.00739146
4.85381,9.63508,0.00741669
4.86346,9.63571,0.00741009
4.87347,9.63634,0.0074035
4.88347,9.6357,0.00743501
4.89365,9.63506,0.00746652
4.90348,9.63139,0.00746652
4.91354,9.62773,0.00746652
4.92355,9.6314,0.00747149
4.93348,9.63507,0.00747646
4.94345,9.6384,0.00744495
4.95426,9.64173,0.00741344
4.96355,9.63819,0.0074434
4.97344,9.63466,0.00747336
4.98352,9.62986,0.00750936
4.99411,9.62507,0.00754537
5.0034,9.6257,0.00755801
5.01345,9.62633,0.00757065
5.02345,9.62713,0.00762949
5.03342,9.62793,0.00768832
5.04348,9.62823,0.00761502
5.05346,9.62853,0.00754171
5.06347,9.62882,0.0074684
5.07397,9.62912,0.0073951
5.08351,9.62865,0.00737425
5.09345,9.62819,0.0073534
5.10357,9.62995,0.00735983
5.11343,9.63172,0.00736625
5.12342,9.63349,0.00735183
5.13347,9.63525,0.00733741
5.14363,9.63686,0.00730548
5.15343,9.63846,0.00727354
5.16375,9.64116,0.00723753
5.17341,9.64386,0.00720152
5.18352,9.6448,0.00716206
5.19354,9.64574,0.00712259
5.20341,9.64718,0.0070656
5.21345,9.64861,0.00700861
5.22348,9.64528,0.00699597
5.23342,9.64194,0.00698333
5.24341,9.64321,0.00700323
5.25354,9.64447,0.00702313
5.26351,9.64481,0.00702313
5.27344,9.64514,0.00702313
5.28368,9.64658,0.00698712
5.29344,9.64801,0.00695111
5.30356,9.64658,0.00693847
5.31359,9.64514,0.00692583
5.32342,9.64898,0.00692145
5.33373,9.65281,0.00691708
5.34339,9.65281,0.00695968
5.35345,9.65281,0.00700228
5.3635,9.65281,0.0070405
5.37345,9.65282,0.00707873
5.38349,9.65168,0.00700526
5.39346,9.65055,0.0069318
5.40348,9.64895,0.00687481
5.41344,9.64736,0.00681783
5.42356,9.64576,0.00676084
5.43347,9.64416,0.00670385
5.44337,9.64463,0.00667234
5.45343,9.64509,0.00664083
5.46341,9.6448,0.00667905
5.47357,9.64451,0.00671728
5.48342,9.64724,0.00676346
5.49345,9.64998,0.00680964
5.50344,9.64807,0.0068602
5.5135,9.64617,0.00691075
5.52348,9.64601,0.00694898
5.53341,9.64584,0.0069872
5.54342,9.64618,0.00697995
5.55365,9.64651,0.00697269
5.5635,9.65034,0.00694273
5.57359,9.65417,0.00691277
5.58344,9.65337,0.00692541
5.59347,9.65257,0.00693805
5.60349,9.65114,0.00698065
5.61349,9.64971,0.00702325
5.62357,9.65099,0.00699767
5.63355,9.65227,0.00697208
5.64347,9.65227,0.00697851
5.65347,9.65227,0.00698494
5.66344,9.6545,0.00698494
5.67342,9.65674,0.00698494
5.68348,9.65913,0.00705181
5.69365,9.66153,0.00711868
5.70364,9.66376,0.00716924
5.71377,9.66599,0.0072198
5.72358,9.66342,0.00727035
5.73344,9.66085,0.00732091
5.74343,9.65895,0.00735242
5.75368,9.65705,0.00738394
5.76345,9.65448,0.00741902
5.7734,9.65191,0.0074541
5.78342,9.64934,0.00748919
5.79344,9.64677,0.00752427
5.80347,9.64758,0.00748167
5.81351,9.64839,0.00743907
5.82355,9.64982,0.00746429
5.83347,9.65125,0.00748952
5.84343,9.65188,0.00754033
5.85343,9.65251,0.00759114
5.86344,9.64884,0.00762753
5.87342,9.64517,0.00766392
5.88349,9.64614,0.00769388
5.89369,9.6471,0.00772384
5.90344,9.64807,0.00773027
5.91344,9.64904,0.0077367
5.9235,9.64696,0.00777309
5.93366,9.64489,0.00780947
5.94357,9.64459,0.00773849
5.95345,9.6443,0.00766751
5.96359,9.64573,0.0076539
5.97349,9.64716,0.00764028
5.98348,9.6475,0.00763579
5.99369,9.64783,0.0076313
6.00364,9.64623,0.00760133
6.01362,9.64464,0.00757137
6.02365,9.64577,0.00752877
6.03483,9.64691,0.00748617
6.04352,9.64788,0.0074673
6.05368,9.64884,0.00744843
6.06377,9.64964,0.00739502
6.07368,9.65045,0.00734161
6.08349,9.64998,0.0073109
6.0937,9.64951,0.0072802
6.10344,9.65157,0.00731171
6.11345,9.65363,0.00734322
6.12344,9.65174,0.00731128
6.13344,9.64985,0.00727934
6.14346,9.64796,0.0072474
6.15377,9.64607,0.00721547
6.16345,9.64464,0.00715848
6.17374,9.64321,0.00710149
6.18345,9.64434,0.00707153
6.19383,9.64548,0.00704157
6.20372,9.64467,0.00700518
6.21366,9.64387,0.00696879
6.22349,9.64319,0.00691976
6.23364,9.64252,0.00687073
6.24352,9.64235,0.00690533
6.2535,9.64218,0.00693992
6.26366,9.64092,0.00694682
6.27366,9.63965,0.00695372
6.28402,9.63772,0.00695372
6.2937,9.63578,0.00695372
6.30358,9.63611,0.00695372
6.31363,9.63644,0.00695372
6.32348,9.63947,0.00694576
6.33348,9.6425,0.00693781
6.34342,9.64617,0.00695668
6.35368,9.64983,0.00697555
6.36366,9.65063,0.00696829
6.37377,9.65142,0.00696104
6.38353,9.65126,0.00696104
6.39377,9.65109,0.00696104
6.40383,9.65075,0.00696104
6.41358,9.65042,0.00696104
6.42355,9.65121,0.00692953
6.43463,9.652,0.00689801
6.44347,9.65183,0.0068665
6.45348,9.65166,0.00683499
6.46349,9.65166,0.00684295
6.4739,9.65165,0.0068509
6.48375,9.65132,0.00683031
6.4937,9.65099,0.00680971
6.50352,9.65066,0.00678911
6.51367,9.65032,0.00676852
6.52367,9.64796,0.00676852
6.53345,9.64559,0.00676852
6.54347,9.64703,0.00678739
6.55349,9.64846,0.00680626
6.56346,9.64703,0.00680626
6.57346,9.64559,0.00680626
6.58387,9.64783,0.00680626
6.59351,9.65007,0.00680626
6.60349,9.64767,0.00680626
6.61357,9.64528,0.00680626
6.62349,9.64318,0.00682686
6.63348,9.64107,0.00684745
6.64427,9.63594,0.00682858
6.65375,9.63081,0.00680971
6.66345,9.63082,0.00680971
6.67349,9.63082,0.00680971
6.68348,9.63082,0.00677975
6.6935,9.63082,0.00674979
6.70394,9.63212,0.00673092
6.71376,9.63342,0.00671205
6.72344,9.63422,0.00674356
6.73375,9.63502,0.00677507
6.74364,9.63565,0.0068241
6.75378,9.63628,0.00687313
6.76378,9.63755,0.00689774
6.77373,9.63881,0.00692235
6.78418,9.63928,0.00697291
6.79348,9.63975,0.00702347
6.80346,9.64326,0.00704406
6.81345,9.64676,0.00706466
6.82346,9.64849,0.00709617
6.83349,9.65023,0.00712768
6.84358,9.65006,0.00708821
6.85346,9.64989,0.00704875
6.86353,9.64973,0.00700928
6.87347,9.64956,0.00696981
6.8835,9.65002,0.00700175
6.89346,9.65048,0.00703369
6.90386,9.65141,0.00705256
6.91351,9.65235,0.00707143
6.92369,9.65235,0.0070903
6.93407,9.65235,0.00710917
6.94344,9.65829,0.00711643
6.95357,9.66422,0.00712368
6.96346,9.66358,0.00715364
6.9735,9.66295,0.0071836
6.98347,9.66038,0.0071836
6.99346,9.65782,0.0071836
7.0034,9.65285,0.0071836
7.01345,9.64789,0.0071836
7.0235,9.64899,0.00719032
7.03345,9.65009,0.00719703
7.04347,9.64722,0.00717951
7.05378,9.64435,0.00716199
7.06342,9.64561,0.00717998
7.07345,9.64688,0.00719797
7.08345,9.64818,0.00715537
7.09365,9.64948,0.00711277
7.10343,9.64661,0.00713164
7.11347,9.64374,0.00715051
7.12348,9.64184,0.00719231
7.13346,9.63994,0.0072341
7.14345,9.64058,0.00727129
7.15374,9.64122,0.00730848
7.16348,9.64316,0.00735904
7.17365,9.64509,0.0074096
7.18363,9.64112,0.00736605
7.19349,9.63716,0.00732249
7.2035,9.63652,0.00734834
7.21348,9.63589,0.0073742
7.2235,9.63525,0.00740005
7.23346,9.63462,0.0074259
7.24371,9.63268,0.00740601
7.25348,9.63074,0.00738611
7.26344,9.62772,0.00735615
7.27352,9.62469,0.00732619
7.28359,9.62582,0.00732619
7.29405,9.62696,0.00732619
7.30344,9.63062,0.00732122
7.31349,9.63428,0.00731625
7.3236,9.63285,0.00730954
7.3335,9.63142,0.00730283
7.34347,9.63159,0.00731391
7.3535,9.63175,0.007325
7.36419,9.63082,0.007325
7.37345,9.62988,0.007325
7.38346,9.63018,0.00736323
7.39346,9.63048,0.00740145
7.40343,9.62921,0.00738258
7.41345,9.62795,0.00736371
7.42361,9.62618,0.00732191
7.4336,9.62442,0.00728012
7.44359,9.62475,0.00725089
7.45345,9.62507,0.00722165
7.46345,9.62714,0.00717905
7.47345,9.6292,0.00713645
7.48365,9.62744,0.00711655
7.49388,9.62567,0.00709666
7.50393,9.62487,0.0070819
7.51406,9.62407,0.00706713
7.52596,9.62727,0.0070588
7.53544,9.63047,0.00705046
7.54383,9.63017,0.00705046
7.55389,9.62987,0.00705046
7.56389,9.62987,0.00708042
7.57627,9.62987,0.00711038
7.58658,9.62987,0.00714035
7.59465,9.62987,0.00717031
7.60544,9.63277,0.00718725
7.61387,9.63568,0.00720418
7.62421,9.63664,0.00720418
7.63354,9.63761,0.00720418
7.64409,9.63728,0.00723489
7.6536,9.63695,0.0072656
7.66499,9.63839,0.0072656
7.67496,9.63982,0.0072656
7.6861,9.64016,0.00726997
7.69645,9.64049,0.00727435
7.70393,9.64016,0.00729322
7.71451,9.63983,0.00731209
7.72726,9.64269,0.00731209
7.73427,9.64556,0.00731209
7.74517,9.64509,0.00730414
7.75537,9.64462,0.00729618
7.76726,9.64112,0.00728822
7.77482,9.63763,0.00733725
7.78605,9.63956,0.00738628
7.79628,9.64149,0.00743531
7.81179,9.64325,0.00743531
7.82538,9.64502,0.00743531
7.82737,9.64645,0.00738628
7.83664,9.64789,0.00733725
7.84573,9.64756,0.00734989
7.85559,9.64723,0.00736253
7.86427,9.65026,0.00735144
7.87766,9.65152,0.00734035
7.88617,9.65279,0.00732927
7.90541,9.65405,0.00731818
7.91504,9.65211,0.00732508
7.91966,9.65017,0.00733198
7.93313,9.6476,0.00734307
7.9353,9.64504,0.00735416
7.94442,9.64727,0.00732345
7.95988,9.6495,0.00729275
7.96737,9.64726,0.00728166
7.98129,9.64503,0.00727057
7.98423,9.64342,0.00727057
7.99909,9.64182,0.00727057
8.00815,9.64325,0.0072517
8.01506,9.64469,0.00723282
8.02472,9.64375,0.00723282
8.03422,9.64282,0.00723282
8.04626,9.64265,0.00727229
8.05475,9.64249,0.00731176
8.0638,9.64456,0.00731972
8.07393,9.64663,0.00727069
8.08609,9.6487,0.00722166
8.09801,9.65076,0.00717263
8.10438,9.65123,0.00713003
8.11428,9.6517,0.00708743
8.12412,9.64849,0.00708743
8.13375,9.64529,0.00708743
8.14612,9.4943,0.0157424
8.15402,9.3433,0.0243974
8.16386,9.48636,0.027494
8.17981,9.63118,0.0305905
8.18494,9.77601,0.0336871
8.19402,9.92084,0.0367836
8.20483,10.2889,0.0395225
8.2182,10.6569,0.0422614
8.2249,10.5837,0.044834
8.23566,10.5106,0.0474066
8.24953,10.5474,0.0539783
8.25927,10.5841,0.0605501
8.26416,10.6403,0.0656858
8.27644,10.6964,0.0708215
8.28777,10.6288,0.0719418
8.2943,10.5611,0.0730622
8.30644,10.4666,0.0800396
8.3148,10.3721,0.0870169
8.32507,10.4259,0.0918445
8.33645,10.4798,0.096672
8.34677,10.5047,0.10186
8.35489,10.5296,0.107048
8.36408,10.5523,0.112267
8.37365,10.575,0.117487
8.38403,10.578,0.120377
8.39368,10.581,0.123266
8.40518,10.5598,0.12473
8.4151,10.5386,0.126193
8.42507,10.5166,0.126494
8.43516,10.4946,0.126795
8.44993,10.6521,0.119725
8.45578,10.8096,0.112656
8.46363,10.6737,0.111126
8.47664,10.5378,0.109596
8.48376,10.3244,0.107624
8.49537,10.1111,0.105651
8.50477,9.72341,0.103945
8.51518,9.33577,0.102239
8.52596,9.39772,0.103856
8.5337,9.45967,0.105472
8.54808,9.46342,0.100599
8.55636,9.46717,0.0957252
8.56525,9.40518,0.0952947
8.57521,9.34319,0.0948642
8.58465,9.4783,0.0968759
8.59495,9.6134,0.0988875
8.60381,9.77573,0.0950721
8.61472,9.93806,0.0912567
8.62709,9.8745,0.0897367
8.63473,9.81094,0.0882167
8.6443,9.77224,0.0871076
8.6554,9.73353,0.0859985
8.66437,9.69412,0.0825728
8.67612,9.65471,0.0791471
8.68474,9.60685,0.077534
8.69772,9.559,0.0759209
8.70351,9.7853,0.0782281
8.71716,10.0116,0.0805353
8.72479,10.0411,0.0842633
8.73603,10.0707,0.0879912
8.74813,9.99015,0.087572
8.75363,9.9096,0.0871527
8.76469,9.82904,0.0867335
8.77546,9.74849,0.0863142
8.78616,9.93135,0.0874187
8.79735,10.1142,0.0885232
8.80728,10.3072,0.0892189
8.81553,10.5001,0.0899146
8.82433,10.686,0.0874434
8.83575,10.7073,0.0860257
8.84369,10.677,0.0870985
8.85512,10.5636,0.0866547
8.86361,10.6115,0.0874505
8.87396,10.6595,0.0882463
8.88404,10.5006,0.0915385
8.89472,10.3418,0.0948306
8.90495,10.1993,0.0975115
8.91678,10.0567,0.100192
8.92537,9.99405,0.102709
8.93706,9.93139,0.105225
8.95049,9.89655,0.103003
8.95422,9.8617,0.10078
8.96485,9.90507,0.102183
8.97379,9.94843,0.103587
8.98471,10.0663,0.103494
8.99852,10.1841,0.103402
9.00458,9.97102,0.102159
9.0153,9.75794,0.100916
9.02454,9.6694,0.0998767
9.03425,9.58086,0.0988378
9.05529,9.70747,0.102276
9.05529,9.83408,0.105715
9.06412,9.94486,0.108058
9.07518,10.0556,0.110402
9.0875,9.98044,0.111665
9.09787,9.90525,0.112927
9.10707,9.82802,0.112402
9.11484,9.7508,0.111877
9.1236,9.56009,0.111914
9.13494,9.53401,0.110896
9.14804,9.53411,0.110231
9.15437,9.61727,0.111083
9.16431,9.5869,0.108372
9.17576,9.55653,0.105662
9.18532,9.67304,0.102606
9.19408,9.78955,0.0995504
9.20426,9.80449,0.094734
9.21612,9.81944,0.0899176
9.22487,9.99237,0.0845526
9.23689,10.1653,0.0791875
9.24611,10.313,0.0777902
9.25396,10.4608,0.0763928
9.26731,10.5779,0.0749828
9.27769,10.6949,0.0735728
9.28564,10.5581,0.0781554
9.2938,10.4213,0.0827379
9.3076,10.3681,0.0859771
9.31536,10.4178,0.0906581
9.32478,10.5404,0.0948769
9.33447,10.5101,0.0933479
9.34504,10.3891,0.0931196
9.35471,10.268,0.0928912
9.36616,10.1941,0.0940394
9.37842,10.1202,0.0951877
9.38812,10.1261,0.0936379
9.39444,10.132,0.0920881
9.40417,10.0787,0.0928254
9.41806,10.0253,0.0935627
9.4272,10.0379,0.0926297
9.44235,10.0417,0.0922093
9.44644,10.0192,0.0914367
9.45541,9.99675,0.090664
9.46509,9.78669,0.0894656
9.4766,9.57662,0.0882671
9.48872,9.59597,0.0896367
9.49771,9.49326,0.0867703
9.50361,9.47584,0.0862757
9.51527,9.45841,0.0857811
9.52542,9.4109,0.0871066
9.53941,9.36338,0.0884322
9.54585,9.3626,0.0890989
9.55645,9.36182,0.0897657
9.56438,9.31421,0.0891362
9.57812,9.2666,0.0885066
9.58448,9.34251,0.0846014
9.59743,9.41841,0.0806962
9.60674,9.43954,0.0759726
9.61463,9.35787,0.0698071
9.62406,9.3064,0.0638648
9.63616,9.40791,0.0636704
9.64609,9.45055,0.061307
9.65381,9.4932,0.0589436
9.66474,9.5617,0.0548988
9.67675,9.62225,0.0507273
9.68399,9.60302,0.0492539
9.69468,9.5838,0.0477804
9.70783,9.54211,0.0469767
9.7152,9.50041,0.0461731
9.72413,9.50628,0.0464785
9.73463,9.52103,0.0462714
9.74516,9.53289,0.0470553
9.75505,9.54476,0.0478392
9.7654,9.7617,0.0490106
9.77469,9.97865,0.050182
9.7837,10.0672,0.045399
9.7952,10.2778,0.0448519
9.80797,10.4047,0.0477242
9.81448,10.5316,0.0505966
9.82448,10.4988,0.0500689
9.83398,10.466,0.0495412
9.84797,10.2375,0.0558313
9.8575,10.009,0.0621214
9.86767,9.87174,0.0626348
9.87504,9.73452,0.0631482
9.88535,9.68135,0.0629574
9.90051,9.62818,0.0627665
9.90601,9.68964,0.0640488
9.91617,9.7511,0.0653311
9.92369,9.84977,0.0680036
9.93588,9.94845,0.0706761
9.94447,10.003,0.0731802
9.95711,10.0575,0.0756843
9.96606,10.0241,0.0782262
9.97494,9.99863,0.0808947
9.98456,9.97963,0.0832816
10.0012,9.96063,0.0856685
10.0045,9.87659,0.0884987
10.0142,9.79256,0.091329
10.0246,9.70852,0.0941592
10.0345,9.62449,0.0969894
10.044,9.611,0.0961089
10.0542,9.59752,0.0952284
10.0651,9.59191,0.094645
10.0748,9.5863,0.0940617
10.0841,9.48345,0.0980472
10.1008,9.3806,0.102033
10.1051,9.36143,0.102599
10.1213,9.27068,0.100845
10.1267,9.21175,0.10122
10.134,9.20802,0.105883
10.1436,9.35326,0.104387
10.1569,9.44924,0.0979055
10.167,9.45391,0.0972004
10.1745,9.45553,0.103474
10.1838,9.45715,0.109748
10.1939,9.45877,0.116022
10.2086,9.40054,0.121642
10.2162,9.32172,0.1286
10.23,9.17549,0.133945
10.2338,9.15176,0.13495
10.2456,9.17951,0.131026
10.2569,9.20726,0.127103
10.2681,9.26576,0.124541
10.2739,9.32426,0.12198
10.2849,9.29165,0.12529
10.2959,9.25905,0.1286
10.3047,9.17874,0.141411
10.3168,9.09842,0.154222
10.3239,9.23986,0.160614
10.3384,9.38129,0.167006
10.3471,9.37207,0.170099
10.3538,9.36285,0.173192
10.3651,9.22184,0.17335
10.3749,9.08083,0.173509
10.3853,9.05547,0.173391
10.3968,9.03011,0.173273
10.4037,9.00474,0.173155
10.4138,9.05097,0.175356
10.4257,9.09241,0.177823
10.4338,9.07866,0.176002
10.4476,9.06391,0.171578
10.4547,9.09843,0.172141
10.4652,9.09178,0.175176
10.4759,9.08819,0.171231
10.4851,9.14104,0.169214
10.4948,9.19389,0.167197
10.5044,9.22474,0.166994
10.5171,9.27616,0.165453
10.5267,9.32758,0.163911
10.5342,9.2565,0.16671
10.5453,9.17057,0.171595
10.5541,9.08464,0.17648
10.5655,9.1075,0.17702
10.5753,9.13035,0.17756
10.5842,9.1721,0.171805
10.597,9.21384,0.16605
10.6045,9.6336,0.161028
10.615,10.0534,0.156007
10.6238,10.1559,0.154511
10.6342,10.2585,0.153016
10.6445,10.4259,0.157244
10.6564,10.5933,0.161472
10.6643,10.7024,0.162815
10.6737,10.8115,0.164159
10.6848,10.9024,0.1639
10.6959,10.9934,0.16364
10.7036,11.007,0.163243
10.716,10.9722,0.160376
10.7249,10.9422,0.157244
10.7348,10.9122,0.154112
10.7452,10.8831,0.153582
10.7552,10.8541,0.153052
10.7675,10.8733,0.15271
10.7748,10.8926,0.152367
10.7858,10.8847,0.148574
10.7943,10.8768,0.144782
10.8059,10.9371,0.138575
10.8176,10.9974,0.132369
10.827,10.9333,0.128505
10.8354,10.8693,0.124641
10.8449,10.8607,0.122491
10.867,10.8521,0.120341
10.8761,10.7347,0.122535
10.884,10.6806,0.12329
10.8973,10.6922,0.124751
10.9047,10.727,0.126828
10.922,10.5191,0.117557
10.9265,10.3733,0.109043
10.941,10.323,0.103423
10.9452,10.2229,0.0967302
10.955,10.141,0.0903335
10.9654,10.1432,0.0851253
10.9755,10.3113,0.0848033
10.9854,10.2389,0.0878383
11,10.0483,0.0909819
11.0049,9.96647,0.0932465
11.0181,9.96203,0.0956491
